component_id,count,mean,min,max
10264,4,0.985102,0.985102,0.985102
10257,32,0.991522,0.963320,1.000000
10210,4,1.000000,1.000000,1.000000
10198,4,0.968870,0.968870,0.968870
10162,4,0.987463,0.987463,0.987463
10132,4,0.995416,0.995416,0.995416
10130,4,0.970952,0.970952,0.970952
10112,24,1.000000,1.000000,1.000000
10108,4,1.000000,1.000000,1.000000
10105,4,0.997222,0.997222,0.997222
10091,4,1.000000,1.000000,1.000000
10053,4,1.000000,1.000000,1.000000
10048,18,0.973843,0.961223,0.997940
10042,4,1.000000,1.000000,1.000000
10023,4,1.000000,1.000000,1.000000
10020,4,1.000000,1.000000,1.000000
9966,4,0.971977,0.971977,0.971977
9940,8,0.960762,0.960409,0.961115
9929,8,0.963718,0.962136,0.965299
9910,4,0.988564,0.988564,0.988564
9870,4,1.000000,1.000000,1.000000
9864,4,0.983338,0.983338,0.983338
9841,4,1.000000,1.000000,1.000000
9840,4,1.000000,1.000000,1.000000
9830,4,1.000000,1.000000,1.000000
9815,4,1.000000,1.000000,1.000000
9780,4,1.000000,1.000000,1.000000
9779,4,0.985706,0.985706,0.985706
9763,4,0.970795,0.970795,0.970795
9761,72,1.000000,1.000000,1.000000
9749,4,0.973564,0.973564,0.973564
9738,4,0.999985,0.999985,0.999985
9733,4,0.972966,0.972966,0.972966
9713,4,1.000000,1.000000,1.000000
9710,4,1.000000,1.000000,1.000000
9680,4,0.978269,0.978269,0.978269
9659,4,0.995865,0.995865,0.995865
9656,28,0.976395,0.962295,0.990333
9627,4,1.000000,1.000000,1.000000
9613,4,1.000000,1.000000,1.000000
9609,4,1.000000,1.000000,1.000000
9590,4,0.970240,0.970240,0.970240
9588,4,1.000000,1.000000,1.000000
9567,4,0.988044,0.988044,0.988044
9566,16,0.995718,0.991485,1.000000
9551,4,1.000000,1.000000,1.000000
9546,8,0.970529,0.962315,0.978744
9526,12,1.000000,1.000000,1.000000
9491,4,1.000000,1.000000,1.000000
9470,4,1.000000,1.000000,1.000000
9469,34,0.976648,0.966550,0.983722
9442,4,1.000000,1.000000,1.000000
9426,4,0.992027,0.992027,0.992027
9425,4,0.981984,0.981984,0.981984
9415,20,0.995531,0.977656,1.000000
9412,4,1.000000,1.000000,1.000000
9406,12,0.975657,0.963485,1.000000
9383,4,0.978071,0.978071,0.978071
9330,12,0.972229,0.960255,0.990555
9278,4,1.000000,1.000000,1.000000
9275,4,1.000000,1.000000,1.000000
9211,4,0.964701,0.964701,0.964701
9207,4,1.000000,1.000000,1.000000
9204,36,1.000000,1.000000,1.000000
9187,4,1.000000,1.000000,1.000000
9177,4,0.996284,0.996284,0.996284
9162,4,1.000000,1.000000,1.000000
9151,4,1.000000,1.000000,1.000000
9147,12,1.000000,1.000000,1.000000
9112,4,1.000000,1.000000,1.000000
9100,4,1.000000,1.000000,1.000000
9066,4,1.000000,1.000000,1.000000
9050,4,1.000000,1.000000,1.000000
9046,4,1.000000,1.000000,1.000000
9026,4,1.000000,1.000000,1.000000
9006,4,1.000000,1.000000,1.000000
8999,4,1.000000,1.000000,1.000000
8995,4,1.000000,1.000000,1.000000
8974,4,1.000000,1.000000,1.000000
8940,4,1.000000,1.000000,1.000000
8925,4,1.000000,1.000000,1.000000
8898,12,1.000000,1.000000,1.000000
8875,4,0.966750,0.966750,0.966750
8835,16,0.969695,0.965437,0.978580
8833,4,1.000000,1.000000,1.000000
8804,4,1.000000,1.000000,1.000000
8790,4,1.000000,1.000000,1.000000
8760,4,1.000000,1.000000,1.000000
8747,4,1.000000,1.000000,1.000000
8743,4,0.971468,0.971468,0.971468
8740,4,0.976584,0.976584,0.976584
8727,4,1.000000,1.000000,1.000000
8720,12,1.000000,1.000000,1.000000
8684,4,0.997374,0.997374,0.997374
8670,12,0.982867,0.974301,1.000000
8663,4,1.000000,1.000000,1.000000
8662,4,0.986630,0.986630,0.986630
8653,4,0.965147,0.965147,0.965147
8645,4,1.000000,1.000000,1.000000
8603,4,1.000000,1.000000,1.000000
8576,4,1.000000,1.000000,1.000000
8565,4,1.000000,1.000000,1.000000
8545,12,1.000000,1.000000,1.000000
8533,4,1.000000,1.000000,1.000000
8508,4,1.000000,1.000000,1.000000
8485,42,1.000000,1.000000,1.000000
8482,4,1.000000,1.000000,1.000000
8461,4,1.000000,1.000000,1.000000
8394,12,0.973355,0.960033,1.000000
8380,36,1.000000,1.000000,1.000000
8363,4,0.983675,0.983675,0.983675
8361,4,1.000000,1.000000,1.000000
8355,14,0.973507,0.968315,0.982435
8339,4,0.965057,0.965057,0.965057
8334,4,0.996426,0.996426,0.996426
8315,24,1.000000,1.000000,1.000000
8247,4,0.999002,0.999002,0.999002
8235,4,0.989061,0.989061,0.989061
8219,4,1.000000,1.000000,1.000000
8195,4,0.978548,0.978548,0.978548
8194,4,1.000000,1.000000,1.000000
8191,4,0.966950,0.966950,0.966950
8184,4,0.960378,0.960378,0.960378
8177,18,1.000000,1.000000,1.000000
8171,4,1.000000,1.000000,1.000000
8164,12,0.978999,0.970905,0.983964
8114,4,1.000000,1.000000,1.000000
8106,4,1.000000,1.000000,1.000000
8098,36,0.996019,0.970285,1.000000
8096,4,1.000000,1.000000,1.000000
8076,4,0.968276,0.968276,0.968276
8071,4,0.963668,0.963668,0.963668
8067,12,0.980063,0.969734,0.987706
8065,4,0.999859,0.999859,0.999859
8033,4,0.963915,0.963915,0.963915
8022,4,1.000000,1.000000,1.000000
8006,4,1.000000,1.000000,1.000000
8000,4,0.992675,0.992675,0.992675
7983,4,1.000000,1.000000,1.000000
7966,12,1.000000,1.000000,1.000000
7960,4,0.987259,0.987259,0.987259
7940,4,1.000000,1.000000,1.000000
7920,24,0.978432,0.963483,0.986061
7914,12,1.000000,1.000000,1.000000
7871,4,0.989496,0.989496,0.989496
7863,4,1.000000,1.000000,1.000000
7855,8,0.962495,0.960430,0.964561
7854,4,0.964590,0.964590,0.964590
7853,12,0.971930,0.960295,0.989543
7852,4,0.968416,0.968416,0.968416
7851,18,0.968524,0.962404,0.976030
7849,4,1.000000,1.000000,1.000000
7827,4,1.000000,1.000000,1.000000
7812,4,1.000000,1.000000,1.000000
7802,12,1.000000,1.000000,1.000000
7798,4,0.978112,0.978112,0.978112
7794,4,0.963732,0.963732,0.963732
7784,4,0.960683,0.960683,0.960683
7758,56,0.985910,0.960242,1.000000
7731,8,0.969710,0.967688,0.971731
7725,4,0.996267,0.996267,0.996267
7701,4,1.000000,1.000000,1.000000
7685,4,1.000000,1.000000,1.000000
7648,4,0.973921,0.973921,0.973921
7611,4,0.983751,0.983751,0.983751
7596,38,0.994773,0.964892,1.000000
7587,4,1.000000,1.000000,1.000000
7578,4,0.999305,0.999305,0.999305
7548,4,0.997555,0.997555,0.997555
7497,16,0.994120,0.988239,1.000000
7484,4,1.000000,1.000000,1.000000
7477,4,1.000000,1.000000,1.000000
7471,12,0.989949,0.985161,0.995714
7465,4,1.000000,1.000000,1.000000
7436,4,0.961407,0.961407,0.961407
7435,4,1.000000,1.000000,1.000000
7418,4,1.000000,1.000000,1.000000
